from	to	fre
original_glszm_SmallAreaEmphasis	ABHD12	1
original_glszm_SmallAreaEmphasis	AHR	2
original_glszm_SmallAreaEmphasis	ASAP3	3
original_glszm_SmallAreaEmphasis	CLASP1	3
original_glszm_SmallAreaEmphasis	COCH	2
original_glszm_SmallAreaEmphasis	COL21A1	2
original_glszm_SmallAreaEmphasis	COL7A1	2
original_glszm_SmallAreaEmphasis	CYP26B1	1
original_glszm_SmallAreaEmphasis	DLX5	2
original_glszm_SmallAreaEmphasis	FOXC1	2
original_glszm_SmallAreaEmphasis	GCK	1
original_glszm_SmallAreaEmphasis	HBG2	2
original_glszm_SmallAreaEmphasis	HBZ	2
original_glszm_SmallAreaEmphasis	IDH2	1
original_glszm_SmallAreaEmphasis	IKBKG	2
original_glszm_SmallAreaEmphasis	ITGAV	4
original_glszm_SmallAreaEmphasis	IYD	2
original_glszm_SmallAreaEmphasis	LOXHD1	2
original_glszm_SmallAreaEmphasis	MEF2D	2
original_glszm_SmallAreaEmphasis	MMP14	2
original_glszm_SmallAreaEmphasis	MTOR	1
original_glszm_SmallAreaEmphasis	NDUFB1	1
original_glszm_SmallAreaEmphasis	NDUFB8	1
original_glszm_SmallAreaEmphasis	NLRP1	1
original_glszm_SmallAreaEmphasis	PFKL	1
original_glszm_SmallAreaEmphasis	PI4KA	3
original_glszm_SmallAreaEmphasis	PIGO	1
original_glszm_SmallAreaEmphasis	PIK3CA	1
original_glszm_SmallAreaEmphasis	PPM1A	1
original_glszm_SmallAreaEmphasis	PRKCD	1
original_glszm_SmallAreaEmphasis	RPL29	1
original_glszm_SmallAreaEmphasis	RPS3A	4
original_glszm_SmallAreaEmphasis	SH3KBP1	3
original_glszm_SmallAreaEmphasis	SOS1	1
original_glszm_SmallAreaEmphasis	SVIL	3
original_glszm_SmallAreaEmphasis	THBS3	2
original_glszm_SmallAreaEmphasis	ZDHHC18	1
original_glszm_SmallAreaHighGrayLevelEmphasis	COL7A1	1
original_glszm_SmallAreaHighGrayLevelEmphasis	DPP4	1
original_glszm_SmallAreaHighGrayLevelEmphasis	LDHC	1
original_glszm_SmallAreaHighGrayLevelEmphasis	ABHD12	1
original_glszm_SmallAreaHighGrayLevelEmphasis	ABI3BP	3
original_glszm_SmallAreaHighGrayLevelEmphasis	AHR	2
original_glszm_SmallAreaHighGrayLevelEmphasis	ASAP3	3
original_glszm_SmallAreaHighGrayLevelEmphasis	C3	1
original_glszm_SmallAreaHighGrayLevelEmphasis	CARD16	1
original_glszm_SmallAreaHighGrayLevelEmphasis	CCDC80	2
original_glszm_SmallAreaHighGrayLevelEmphasis	CD177	1
original_glszm_SmallAreaHighGrayLevelEmphasis	CD47	1
original_glszm_SmallAreaHighGrayLevelEmphasis	CDH13	1
original_glszm_SmallAreaHighGrayLevelEmphasis	CLASP1	3
original_glszm_SmallAreaHighGrayLevelEmphasis	COCH	2
original_glszm_SmallAreaHighGrayLevelEmphasis	COL14A1	8
original_glszm_SmallAreaHighGrayLevelEmphasis	COL17A1	7
original_glszm_SmallAreaHighGrayLevelEmphasis	COL1A2	13
original_glszm_SmallAreaHighGrayLevelEmphasis	COL21A1	8
original_glszm_SmallAreaHighGrayLevelEmphasis	COL22A1	5
original_glszm_SmallAreaHighGrayLevelEmphasis	COL2A1	12
original_glszm_SmallAreaHighGrayLevelEmphasis	COL3A1	13
original_glszm_SmallAreaHighGrayLevelEmphasis	COL7A1	10
original_glszm_SmallAreaHighGrayLevelEmphasis	CYP26B1	1
original_glszm_SmallAreaHighGrayLevelEmphasis	DLX5	2
original_glszm_SmallAreaHighGrayLevelEmphasis	DPP4	2
original_glszm_SmallAreaHighGrayLevelEmphasis	EDEM3	1
original_glszm_SmallAreaHighGrayLevelEmphasis	ELN	5
original_glszm_SmallAreaHighGrayLevelEmphasis	FCN1	2
original_glszm_SmallAreaHighGrayLevelEmphasis	FLOT2	1
original_glszm_SmallAreaHighGrayLevelEmphasis	FOXC1	2
original_glszm_SmallAreaHighGrayLevelEmphasis	GAS2	1
original_glszm_SmallAreaHighGrayLevelEmphasis	GCK	1
original_glszm_SmallAreaHighGrayLevelEmphasis	HBG2	2
original_glszm_SmallAreaHighGrayLevelEmphasis	HBZ	2
original_glszm_SmallAreaHighGrayLevelEmphasis	IDH2	1
original_glszm_SmallAreaHighGrayLevelEmphasis	IKBKG	2
original_glszm_SmallAreaHighGrayLevelEmphasis	IL12B	1
original_glszm_SmallAreaHighGrayLevelEmphasis	ITGAV	4
original_glszm_SmallAreaHighGrayLevelEmphasis	IYD	2
original_glszm_SmallAreaHighGrayLevelEmphasis	LOXHD1	2
original_glszm_SmallAreaHighGrayLevelEmphasis	MEF2D	2
original_glszm_SmallAreaHighGrayLevelEmphasis	MMP14	2
original_glszm_SmallAreaHighGrayLevelEmphasis	MMP23B	2
original_glszm_SmallAreaHighGrayLevelEmphasis	MTOR	1
original_glszm_SmallAreaHighGrayLevelEmphasis	NDUFB1	1
original_glszm_SmallAreaHighGrayLevelEmphasis	NDUFB8	1
original_glszm_SmallAreaHighGrayLevelEmphasis	NLRP1	1
original_glszm_SmallAreaHighGrayLevelEmphasis	P4HA3	1
original_glszm_SmallAreaHighGrayLevelEmphasis	PFKL	1
original_glszm_SmallAreaHighGrayLevelEmphasis	PI4KA	3
original_glszm_SmallAreaHighGrayLevelEmphasis	PIGO	1
original_glszm_SmallAreaHighGrayLevelEmphasis	PIK3CA	1
original_glszm_SmallAreaHighGrayLevelEmphasis	PPM1A	1
original_glszm_SmallAreaHighGrayLevelEmphasis	PRKCD	1
original_glszm_SmallAreaHighGrayLevelEmphasis	PROC	1
original_glszm_SmallAreaHighGrayLevelEmphasis	PZP	2
original_glszm_SmallAreaHighGrayLevelEmphasis	RPL29	1
original_glszm_SmallAreaHighGrayLevelEmphasis	RPS3A	4
original_glszm_SmallAreaHighGrayLevelEmphasis	SERPINE1	3
original_glszm_SmallAreaHighGrayLevelEmphasis	SH3KBP1	3
original_glszm_SmallAreaHighGrayLevelEmphasis	SLC16A10	1
original_glszm_SmallAreaHighGrayLevelEmphasis	SOS1	1
original_glszm_SmallAreaHighGrayLevelEmphasis	SRPX	2
original_glszm_SmallAreaHighGrayLevelEmphasis	SSC5D	1
original_glszm_SmallAreaHighGrayLevelEmphasis	SVIL	3
original_glszm_SmallAreaHighGrayLevelEmphasis	THBS3	2
original_glszm_SmallAreaHighGrayLevelEmphasis	WNT5A	2
original_glszm_SmallAreaHighGrayLevelEmphasis	ZDHHC18	1
ABHD12	GO:0042157	1.50839651131204
ITGAV	GO:0042157	1.50839651131204
PIGO	GO:0042157	1.50839651131204
PPM1A	GO:0042157	1.50839651131204
ZDHHC18	GO:0042157	1.50839651131204
ASAP3	GO:0005925	2.0458562418684
CLASP1	GO:0005925	2.0458562418684
ITGAV	GO:0005925	2.0458562418684
PI4KA	GO:0005925	2.0458562418684
RPS3A	GO:0005925	2.0458562418684
SH3KBP1	GO:0005925	2.0458562418684
SVIL	GO:0005925	2.0458562418684
ASAP3	GO:0005924	2.0458562418684
CLASP1	GO:0005924	2.0458562418684
ITGAV	GO:0005924	2.0458562418684
PI4KA	GO:0005924	2.0458562418684
RPS3A	GO:0005924	2.0458562418684
SH3KBP1	GO:0005924	2.0458562418684
SVIL	GO:0005924	2.0458562418684
ASAP3	GO:0030055	2.0458562418684
CLASP1	GO:0030055	2.0458562418684
ITGAV	GO:0030055	2.0458562418684
PI4KA	GO:0030055	2.0458562418684
RPS3A	GO:0030055	2.0458562418684
SH3KBP1	GO:0030055	2.0458562418684
SVIL	GO:0030055	2.0458562418684
AHR	GO:0044445	1.55715629757715
IKBKG	GO:0044445	1.55715629757715
NLRP1	GO:0044445	1.55715629757715
RPL29	GO:0044445	1.55715629757715
RPS3A	GO:0044445	1.55715629757715
