V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25
8.20785	0.03505	4.297675	46.08682	0.138275	0.2612	0.125075	1.9226	0.187825	0.95875	0.174075	0.207425	14.02155	0.04035	2.6885	2.6132	823.428	207.75	0.233925	0.16285	1684383	3.577075	0.1801	23.75	1
7.173375	0.065125	5.410075	48.58998	0.2117	0.319575	0.149525	3.093425	0.23755	0.9233	0.146625	0.238375	12.29855	0.044325	1.6554	2.30905	510.7188	206.5	0.192175	0.186175	468836.6	2.9454	0.21175	32.5	1
7.2399	0.06428	2.68334	133.2629	0.20554	0.26874	0.12294	1.96176	0.2866	0.95088	0.31354	0.16056	6.5498	0.07916	1.79482	2.08254	639.83	186	0.34406	0.13386	5308960	2.35896	0.23654	7.4	1
6.85355	0.07465	6.02905	54.0424	0.2263	0.3078	0.1466	4.03345	0.228	0.917	0.0819	0.2432	19.49865	0.02695	1.4897	2.30305	776.9161	199.5	0.113	0.1833	239798.2502	2.3035	0.2255	52.5	1
7.59518	0.0444	4.1264	35.54302	0.16594	0.29188	0.13744	2.07868	0.24866	0.953	0.26206	0.19176	7.98454	0.05946	2.17014	2.2759	461.0113	239.8	0.25252	0.15548	1822563	3.22378	0.20022	8.8	1
6.77092	0.07844	4.20798	43.48978	0.23698	0.34434	0.16234	2.8627	0.24316	0.90716	0.24222	0.25554	8.84798	0.07516	1.45064	2.23106	289.89848	197	0.24818	0.19788	275416.2336	2.56964	0.2182	20.8	0
7.237725	0.06475	5.47645	56.54693	0.213825	0.3204	0.146925	2.833175	0.2192	0.961375	0.2358	0.20675	10.6602	0.06655	2.78945	2.480825	600.2655	247	0.27295	0.1658	1064575	3.790875	0.17575	12.25	1
7.3697	0.06586	4.57208	182.7119	0.2097	0.3163	0.15328	2.80704	0.2008	0.94436	0.18524	0.23358	11.75042	0.05542	2.33814	2.5054	492.6718	233	0.22788	0.17876	1236090	2.72788	0.2044	16	0
7.03128	0.0729	6.57888	44.609	0.2199	0.37302	0.1842	3.69852	0.2063	0.92098	0.14416	0.29294	13.58164	0.04934	1.96642	2.46894	359.404	201	0.17952	0.2164	154966.1422	3.11022	0.19302	31.8	1
6.88108	0.053	1.96392	27.91044	0.18352	0.21792	0.09344	1.50666	0.37716	0.96182	0.28162	0.08676	4.62356	0.05508	1.16182	1.7373	2043.085	141.6	0.26092	0.07846	11642380	1.5032	0.25684	2.2	1
7.01508	0.04186	4.68924	10.8177	0.15366	0.27634	0.13386	2.5449	0.2221	0.97298	0.22148	0.17786	11.39526	0.04826	3.51374	2.50532	676.98074	219.8	0.19488	0.14556	772685.74	3.3606	0.165	5.6	1
7.30284	0.05534	3.34028	59.95348	0.18924	0.28452	0.13014	1.8467	0.27488	0.93358	0.26506	0.18624	7.60184	0.06966	1.53636	2.14136	601.1582	204.4	0.3271	0.15006	3105993	2.5976	0.22754	14	1
6.651767	0.08416667	7.9365	32.29767	0.2426333	0.3413333	0.16	5.2092	0.1934	0.9487667	0.1101333	0.247	18.96747	0.03583333	2.5178	2.582133	685.2573	190.3333	0.1410667	0.1914	166790.3	3.324267	0.1748	40.66667	0
7.418775	0.047025	3.616525	33.33115	0.164725	0.25895	0.1212	2.053325	0.214875	0.96335	0.2654	0.1855	9.97125	0.060175	2.599925	2.446775	617.4089	219	0.29095	0.149875	1332835	3.06905	0.1854	13.5	1
7.41205	0.048775	4.760925	30.63275	0.17345	0.294375	0.144975	2.529625	0.1764	0.955675	0.182725	0.24135	14.88125	0.053125	2.794375	2.66435	567.3632	211.25	0.254	0.182625	361622.6	3.502975	0.171375	24.75	1
7.00055	0.03975	2.4957	12.75538	0.142075	0.243375	0.114575	1.34305	0.376825	0.960325	0.291475	0.1127	5.1612	0.05775	1.48655	1.817225	1046.249	160.75	0.254375	0.099375	4248402	2.01255	0.222975	0.5	1
