V1	V2	V3	V4	V5	V6	V7	V8	V9
0.038625	7.5085	3.421225	22.955475	0.146825	0.250475	0.116675	1.713475	1
0.0334	7.559075	3.8195	14.76905	0.13395	0.25735	0.121975	1.776	0
0.054975	7.440575	4.141075	81.98945	0.1838	0.303225	0.14475	2.122225	1
0.0617	7.47186	4.49516	100.2537	0.2045	0.29472	0.14022	2.87958	1
0.03812	7.54642	2.7592	25.69278	0.14244	0.22452	0.10406	1.65662	0
0.04126	7.44896	2.56336	26.32604	0.15336	0.20982	0.09698	1.63642	1
0.07978	6.9643	6.58156	49.65134	0.2398	0.33082	0.15234	4.49614	0
0.06154	7.24502	3.46218	65.94554	0.20764	0.26304	0.1213	2.53874	0
0.0477	7.7451	4.7285	78.6911	0.1612	0.3285	0.1603	1.9555	1
0.034775	7.59075	3.09905	21.750825	0.13575	0.249875	0.1133	1.3601	1
0.04274	7.78702	3.54452	55.65908	0.15762	0.2412	0.1132	1.7795	0
0.05245	7.513175	7.366425	33.5554	0.1801	0.271225	0.132725	4.589925	0
0.06352	7.32318	5.05684	65.86766	0.2086	0.3196	0.15252	3.10092	0
0.048	7.2708	3.60765	29.7934	0.169075	0.26655	0.124575	1.91195	0
0.03374	7.32476	2.71952	12.83872	0.13302	0.21788	0.1048	1.52072	0
0.05305	7.5748	5.52045	43.80775	0.180975	0.270625	0.12835	3.2778	0
0.05146	7.13084	2.54734	28.01474	0.18062	0.22742	0.10486	1.92654	0
0.04066	7.6092	2.9314	44.72724	0.14956	0.2447	0.11076	1.57188	1
0.04255	7.329	4.07555	17.2919	0.15995	0.26115	0.1217	2.71825	0
0.0653	7.32286	4.08616	110.7726	0.20858	0.29392	0.13812	2.67806	0
0.04724	7.56058	4.43248	37.28886	0.1721	0.25744	0.12042	2.58482	0
0.0422	7.6978	3.755233	34.807433	0.1557	0.2329	0.1091	2.162033	0
0.082125	6.791375	4.6271	62.21175	0.2404	0.33225	0.15455	2.957825	0
0.07515	6.9932	4.0726	73.9239	0.231325	0.36465	0.17265	2.627925	1
0.066375	7.098225	6.7823	35.7073	0.207925	0.3914	0.197325	3.4791	1
0.06506	6.8979	4.1758	31.26458	0.20598	0.34064	0.16198	2.58642	0
0.082225	6.745075	5.22865	46.419675	0.24065	0.3322	0.156975	3.612825	0
0.06692	7.11558	4.2781	53.83466	0.21874	0.31152	0.14282	2.65766	0
0.08158	6.82854	4.05714	64.98888	0.24128	0.33716	0.15658	2.66732	1
0.0865	6.761925	5.597675	71.9472	0.243575	0.3306	0.1521	3.707275	0
0.073175	7.092375	6.720975	58.638125	0.221075	0.388775	0.194775	3.66865	0
0.03665	7.727775	3.6894	24.3263	0.144725	0.2483	0.1172	2.012975	1
0.03998	7.54714	3.4842	23.4819	0.14788	0.23132	0.10954	2.19772	0
0.0824	6.89152	4.49302	81.9683	0.24212	0.32954	0.14912	2.97312	0
0.07792	6.85104	4.33776	53.58766	0.2328	0.32074	0.14766	3.01534	0
0.06306667	7.29696667	7.035	66.11386667	0.2024	0.3409	0.16903333	3.63796667	0
0.04216	7.53774	3.093	29.74076	0.15816	0.25808	0.1177	1.89346	1
0.07034	6.98458	7.28512	38.33108	0.21384	0.38724	0.19554	3.84634	0
0.069975	6.993125	5.94335	40.467975	0.210525	0.3695	0.1801	3.0653	1
0.04452	7.0418	2.39126	17.89236	0.15524	0.23336	0.1072	1.529	0
0.0689	6.7742667	6.3083333	25.2957333	0.2037333	0.3801667	0.1900333	2.9309	1
0.06906	6.64658	3.11642	24.33102	0.21892	0.26996	0.11642	2.13422	0
0.04954	7.30014	3.30666	34.54592	0.17106	0.23134	0.10364	2.21914	1
0.04836667	7.5029	3.25266667	41.67396667	0.1677	0.2502	0.1165	2.11283333	0
0.061	7.13892	3.14028	61.03144	0.20002	0.26552	0.12306	2.31402	1
0.0744	7.31375	10.685475	67.99995	0.2237	0.37015	0.178175	6.096975	1
0.082025	6.926175	7.210725	46.420275	0.244775	0.3607	0.168675	4.57225	1
0.06366	7.30726	5.29146	58.9543	0.20294	0.30004	0.14346	3.25764	0
0.04358	7.3159	3.20176	20.82264	0.15164	0.2429	0.11352	1.74768	1
0.06133333	7.30656667	5.2007	54.63963333	0.19683333	0.30046667	0.141	3.2231	1
0.08132	6.82966	5.00236	64.92924	0.24246	0.34314	0.16148	3.25286	0
0.06108	7.47736	5.74082	65.91774	0.2052	0.30376	0.14484	3.61606	0
0.08392	6.75902	4.44844	55.09814	0.23866	0.34752	0.1617	2.96344	0
0.05624	7.16584	3.52296	33.73734	0.19322	0.24908	0.11294	2.69386	1
0.04456	7.23506	3.15352	20.49402	0.16244	0.21222	0.0965	2.10486	1
0.05744	7.4814	4.17712	101.38662	0.1908	0.3048	0.14648	2.33146	1
0.03646667	7.2521	2.6277	13.28073333	0.147	0.23003333	0.11243333	1.55706667	1
0.0415	7.22164	2.30982	27.1159	0.1517	0.22484	0.10212	1.36124	0
0.09062	6.82124	6.23762	59.52678	0.25636	0.3321	0.15154	4.33396	0
0.0401	7.25618	3.5993	14.60338	0.14828	0.23198	0.10608	1.9829	1
0.044175	7.63925	3.46175	39.307775	0.162575	0.240975	0.113875	2.09085	1
0.07334	7.20626	5.43496	88.6936	0.2269	0.31512	0.14556	3.85788	1
0.04994	7.32434	5.36388	22.16078	0.17744	0.27796	0.13032	3.0241	0
0.0343	7.7638667	3.3712667	23.8934	0.1305	0.2540333	0.1217667	1.6729	1
0.0433	7.65786	3.51372	43.76778	0.1563	0.26648	0.12624	1.98396	0
0.06896667	7.2412	5.5286	74.25713333	0.2136	0.36996667	0.1775	3.08186667	1
0.04038	7.29724	3.92936	16.81554	0.14616	0.27808	0.13208	1.99074	1
0.03375	7.47665	4.5058	13.468	0.1213	0.29505	0.1446	2.0157	0
0.07222	7.21132	4.42742	115.37628	0.2261	0.3071	0.14674	3.206	1
0.05856	7.46766	4.00088	91.75762	0.19798	0.2778	0.13022	2.79746	0
0.0486	7.35888	3.1332	30.2826	0.17288	0.25	0.11646	2.19578	1
0.034575	7.087525	3.136875	10.271475	0.13165	0.20435	0.098975	1.948925	0
0.0482	7.0826	3.8385	17.75	0.1726	0.29	0.1392	2.3749	1
0.05354	7.58054	4.46738	63.91796	0.1875	0.28684	0.1375	2.71506	0
0.09432	6.64296	4.76636	67.14456	0.2611	0.32768	0.14908	3.31724	0
0.07844	6.90654	3.87502	116.09334	0.23736	0.3451	0.16508	2.52948	0
0.06456	7.26074	6.02542	57.35316	0.20256	0.31006	0.14988	3.41186	1
0.0691	7.1461	3.37726	114.30802	0.21564	0.2843	0.12954	2.50712	0
0.0642	7.28724	4.20554	84.13824	0.20908	0.31616	0.14804	2.7321	0
0.05902	7.4931	5.34078	88.67884	0.19408	0.33168	0.16394	3.00036	0
0.07746	6.70556	3.3878	52.58542	0.22636	0.3327	0.15566	2.38936	0
0.03762	7.52688	3.78006	18.65306	0.1429	0.24914	0.11722	2.08816	1
0.07942	6.8563	6.62096	45.64862	0.23876	0.36798	0.17858	3.93252	0
0.050775	7.3694	4.568625	59.417825	0.172775	0.2753	0.129625	2.396825	1
0.06624	7.35434	7.78804	59.9773	0.20548	0.36856	0.17994	4.05946	1
0.0379	7.8061	3.883725	27.1636	0.142125	0.235775	0.111025	2.23585	1
0.0617	7.3233	5.366	43.755	0.19655	0.28415	0.1368	3.5175	1
0.061525	7.6152	7.493175	113.884525	0.198175	0.438075	0.230225	3.24155	1
0.04283333	7.0834	3.73436667	13.41246667	0.16233333	0.26323333	0.1276	2.27986667	0
0.0372	7.01185	4.123825	8.9395	0.13825	0.26995	0.12655	2.109925	1
0.07612	7.0914	3.92738	156.06214	0.23568	0.28464	0.1334	3.1883	1
0.03016	7.39208	1.9502	11.77842	0.1204	0.20414	0.09844	1.0154	1
0.0753	7.092	8.9932	40.5242	0.2381	0.3981	0.2016	4.9835	0
0.04476667	7.37526667	5.02743333	20.18333333	0.15806667	0.29113333	0.13886667	2.22706667	0
0.0338	7.717625	3.5601	20.3912	0.126175	0.2479	0.118975	1.74365	1
0.05798	7.2742	3.97396	48.39464	0.19538	0.28068	0.12724	2.4547	1
0.06533333	6.9261	5.30446667	31.87666667	0.2027	0.37523333	0.1845	2.74593333	0
0.03755	7.236125	2.790925	12.80835	0.146975	0.253625	0.1179	1.474325	0
0.064	7.27098	3.45178	109.93598	0.20456	0.31138	0.1495	2.23122	0
0.04736	7.31714	2.89518	30.06786	0.16692	0.25528	0.11822	1.6595	1
0.0809	6.70468	5.1009	43.33298	0.23972	0.35172	0.16906	3.42888	0
0.051375	7.28345	6.0352	22.865725	0.177725	0.318475	0.153625	3.145	1
0.04172	7.63332	4.2014	27.68204	0.15412	0.25302	0.11946	2.64784	0
0.039025	7.6035	3.4896	25.71625	0.147875	0.246225	0.116425	1.907425	1
0.09376	6.5746	6.3271	51.23358	0.26538	0.33298	0.14678	4.21872	0
0.05982	7.17946	3.3957	59.65856	0.19454	0.2664	0.12232	2.0704	1
0.04445	7.4778	3.125225	29.49155	0.164275	0.22995	0.108525	2.162	1
0.0668	6.99685	6.3619	30.477725	0.205325	0.392425	0.197475	3.38685	1
0.042525	7.4939	3.676275	28.610575	0.162425	0.261875	0.12125	1.9494	0
0.04256	7.62546	3.2518	33.64182	0.15836	0.2174	0.10152	2.19122	1
0.08226	6.82518	7.37334	39.11928	0.246	0.36916	0.17954	4.6097	0
0.04492	7.25486	4.03528	20.37326	0.15182	0.27996	0.13014	1.88796	0
0.06442	7.17574	4.77158	53.14842	0.21234	0.3083	0.1424	2.72148	0
0.10788	6.50534	5.78638	81.2702	0.29864	0.36278	0.16572	4.43418	0
0.042825	7.720725	4.9387	34.708975	0.1573	0.259725	0.123725	2.697275	1
0.08062	6.75904	3.86986	71.3203	0.23838	0.3223	0.14852	2.69638	1
0.0358	7.51415	3.4311	18.72005	0.141975	0.2515	0.117825	1.86215	0
0.0576	7.4828	4.7384	69.9632	0.1892	0.314775	0.152525	2.707525	1
0.0763	7.1520333	5.7751	66.3680333	0.2438333	0.3253667	0.1573	4.3240333	1
0.05454	6.89386	3.10902	33.40312	0.19112	0.24022	0.10348	2.1369	1
0.04216	7.64024	5.15344	24.74464	0.15586	0.26498	0.1277	2.74886	0
0.08146	6.61872	4.7539	36.80926	0.23728	0.34504	0.16372	3.10734	1
0.06644	7.35644	5.71304	100.94724	0.2121	0.31744	0.1553	3.5033	1
0.04953333	7.2269	4.50513333	22.73156667	0.17296667	0.23776667	0.11116667	3.37796667	0
0.0436	7.9371	6.1251	60.8524	0.152	0.3281	0.1577	2.7797	0
0.08412	6.2721	2.66282	29.8592	0.23564	0.31244	0.13816	2.04246	0
0.055	7.3911	3.5371	64.9949	0.182	0.2675	0.126	2.2326	0
0.0698	6.9853	4.6309	57.4228	0.2188	0.3523	0.1653	2.9533	1
0.0605	7.5466	8.2328	52.2097	0.2089	0.3603	0.1776	4.0005	1
0.0698	7.2456	9.0656	53.4308	0.2181	0.4152	0.2095	5.5341	1
0.058	7.3655	3.0891	93.4584	0.1974	0.252	0.1163	2.2471	0
0.0677	7.275	10.9853	47.4793	0.1942	0.4237	0.22	5.8429	0
0.0821	6.5413	6.2634	24.8614	0.2338	0.3635	0.1749	3.9773	1
0.0259	7.9258	2.6033	16.7307	0.1086	0.2425	0.12	1.2275	1
0.0751	6.8537	3.8487	40.6081	0.2314	0.3039	0.1364	2.9434	1
0.0446	7.4085	3.3268	22.3984	0.1701	0.2577	0.1223	2.0052	0
0.0693	7.1337	6.8267	36.7547	0.2282	0.3233	0.1573	4.8147	0
0.0912	6.8111	6.0517	64.5989	0.2643	0.3318	0.1513	4.0925	0
0.0799	6.8579	6.812	43.1593	0.2424	0.3835	0.1862	3.5217	1
0.0833	7.0635	5.8855	70.4917	0.2569	0.3567	0.1692	4.0628	0
0.0638	6.4736	2.9464	21.3821	0.1965	0.2914	0.1227	1.8287	1
0.0666	7.5746	10.6467	88.6271	0.2135	0.3829	0.1906	5.4225	1
0.0718	7.3327	4.7309	123.8023	0.2112	0.3207	0.146	2.7382	1
0.0613	7.3106	4.401	59.7869	0.2025	0.3154	0.1472	2.6283	0
0.0837	7.142	7.3412	53.9736	0.2507	0.3511	0.1645	5.7446	0
0.0737	7.2262	5.1413	82.062	0.2245	0.3585	0.1712	3.1765	0
0.0547	7.7666	5.9442	82.6376	0.1894	0.3079	0.1425	3.3712	0
0.0719	7.3537	6.2809	88.8089	0.2224	0.3505	0.167	3.7455	0
0.0675	6.9907	6.9035	36.9488	0.1995	0.3764	0.1859	3.7082	0
0.0862	6.728	4.2718	69.8395	0.2419	0.3294	0.1498	3.1134	0
0.0746	6.9317	5.4318	45.4885	0.2301	0.3575	0.1635	2.8793	0
0.0406	7.2245	3.5622	14.1264	0.1546	0.2577	0.1169	1.848	0
0.0387	7.5083	3.1553	29.3588	0.144	0.236	0.1104	1.5463	0
0.0823	7.0741	5.844	62.1656	0.2391	0.334	0.1558	4.2194	1
0.086	6.924	6.7814	54.1033	0.2403	0.3407	0.1562	4.5301	1
0.0598	7.3328	4.2293	81.8085	0.194	0.3049	0.1472	2.4682	0
0.0535	7.2786	3.6174	35.494	0.1888	0.3089	0.1483	2.0939	0
