		sim
85	original_firstorder_10Percentile	original_gldm_SmallDependenceHighGrayLevelEmphasis	0.583333333333333
86	original_firstorder_10Percentile	original_gldm_SmallDependenceLowGrayLevelEmphasis	0.833333333333333
87	original_firstorder_90Percentile	original_firstorder_10Percentile	0.416666666666667
88	original_firstorder_90Percentile	original_firstorder_90Percentile	1
89	original_firstorder_90Percentile	original_firstorder_Energy	0.431818181818182
90	original_firstorder_90Percentile	original_firstorder_Entropy	0.307692307692308
91	original_firstorder_90Percentile	original_firstorder_InterquartileRange	0.305084745762712
92	original_firstorder_90Percentile	original_firstorder_Kurtosis	0.166666666666667
93	original_firstorder_90Percentile	original_firstorder_Maximum	0.409090909090909
94	original_firstorder_90Percentile	original_firstorder_MeanAbsoluteDeviation	0.420454545454545
95	original_firstorder_90Percentile	original_firstorder_Mean	0.0769230769230769
96	original_firstorder_90Percentile	original_firstorder_Median	0.302325581395349
97	original_firstorder_90Percentile	original_firstorder_Minimum	0.0805369127516778
98	original_firstorder_90Percentile	original_firstorder_Range	0.244318181818182
99	original_firstorder_90Percentile	original_firstorder_RobustMeanAbsoluteDeviation	0.0638297872340425
100	original_firstorder_90Percentile	original_firstorder_RootMeanSquared	0.305555555555556
101	original_firstorder_90Percentile	original_firstorder_Skewness	0.227272727272727
102	original_firstorder_90Percentile	original_firstorder_TotalEnergy	0.431818181818182
103	original_firstorder_90Percentile	original_firstorder_Uniformity	0.2
104	original_firstorder_90Percentile	original_firstorder_Variance	0.208955223880597
105	original_firstorder_90Percentile	original_glcm_Autocorrelation	0.369318181818182
106	original_firstorder_90Percentile	original_glcm_JointAverage	0.107954545454545
107	original_firstorder_90Percentile	original_glcm_ClusterProminence	0.0487804878048781
108	original_firstorder_90Percentile	original_glcm_ClusterShade	0.326923076923077
109	original_firstorder_90Percentile	original_glcm_ClusterTendency	0.285714285714286
110	original_firstorder_90Percentile	original_glcm_Contrast	0.194174757281553
111	original_firstorder_90Percentile	original_glcm_Correlation	0.135135135135135
112	original_firstorder_90Percentile	original_glcm_DifferenceAverage	0.175925925925926
113	original_firstorder_90Percentile	original_glcm_DifferenceEntropy	0.215686274509804
114	original_firstorder_90Percentile	original_glcm_DifferenceVariance	0.261363636363636
115	original_firstorder_90Percentile	original_glcm_JointEnergy	0.180555555555556
116	original_firstorder_90Percentile	original_glcm_JointEntropy	0.109243697478992
117	original_firstorder_90Percentile	original_glcm_Imc1	0.24390243902439
118	original_firstorder_90Percentile	original_glcm_Imc2	0.30188679245283
119	original_firstorder_90Percentile	original_glcm_Idm	0.193548387096774
120	original_firstorder_90Percentile	original_glcm_Idmn	0.10062893081761
121	original_firstorder_90Percentile	original_glcm_Id	0.278409090909091
122	original_firstorder_90Percentile	original_glcm_Idn	0
123	original_firstorder_90Percentile	original_glcm_InverseVariance	0.203947368421053
124	original_firstorder_90Percentile	original_glcm_MaximumProbability	0
125	original_firstorder_90Percentile	original_glcm_SumEntropy	0.322834645669291
126	original_firstorder_90Percentile	original_glcm_SumSquares	0.289855072463768
127	original_firstorder_90Percentile	original_glrlm_GrayLevelNonUniformity	0.0909090909090909
